PROTOCOL,NUM_EXPERTS,NUM_ROUNDS,PROP,GAS_EXPERT,GAS_MANAGER,HARD_ACC,HARD_REPT,SOFT_ACC,SOFT_REPT
SNOWFLAKE,7,8,40,89.4,1017762.4,91.38,92.554,92.498,92.949
SNOWFLAKE,9,5,0,88.689,1260318.5,93.356,93.229,93.939,93.864
SNOWFLAKE,7,14,0,88.957,1100977.6,93.654,93.627,94.074,94.08
SNOWBALL,13,8,40,88.046,1739042.4,91.785,92.032,92.302,92.46
SNOWFLAKE,7,14,40,88.857,1063741.3,91.91,92.7,92.749,92.893
SNOWFLAKE,9,5,60,88.978,1236680.3,90.653,92.421,92.013,92.675
SNOWFLAKE,9,14,0,88.933,1360292.6,93.42,93.389,93.954,93.959
SNOWFLAKE,15,8,0,86.433,2002604.5,92.099,92.077,92.78,92.574
SNOWFLAKE,11,14,60,87.864,1512129.6,85.682,91.499,90.884,92.151
SNOWFLAKE,7,11,40,89.171,1037125.3,91.757,92.585,92.637,92.805
SNOWBALL,5,5,20,90.14,764861.4,93.91,93.29,94.141,94.082
SNOWFLAKE,9,11,80,89.022,1244282.2,34.883,90.595,87.744,91.834
SNOWBALL,9,8,40,88.744,1244332.5,92.115,92.681,92.606,92.874
SNOWFLAKE,15,5,40,87.187,1969199.8,91.692,91.74,92.109,92.367
SNOWFLAKE,9,14,80,88.922,1259965.4,29.488,89.911,87.318,91.319
SNOWFLAKE,11,11,80,87.945,1481351.4,13.265,88.321,84.219,89.884
SNOWFLAKE,5,11,80,90.14,768738,5.75,90.677,84.584,90.633
SNOWBALL,13,11,20,87.469,1814405.8,92.478,92.434,92.864,92.829
SNOWBALL,11,14,60,87.836,1509330.8,84.101,91.401,90.135,91.599
SNOWFLAKE,9,8,20,89.078,1283272.3,93.066,93.148,93.599,93.58
SNOWBALL,11,5,20,87.509,1484118.2,92.533,92.541,92.961,92.989
SNOWFLAKE,11,14,40,87.773,1558916.9,92.01,92.179,92.576,92.809
SNOWBALL,13,14,80,87.777,1726529.4,43.315,90.414,86.288,90.221
SNOWFLAKE,13,5,80,87.777,1673365.8,44.365,90.391,86.532,90.23
SNOWBALL,15,11,60,87.287,1971342.6,89.291,91.344,90.57,91.854
SNOWFLAKE,5,8,60,90.32,760256,66.28,89.459,90.554,91.611
SNOWBALL,9,11,0,89.011,1313642.1,93.397,93.322,93.94,93.959
SNOWFLAKE,11,5,40,88.082,1485131.3,91.999,92.129,92.206,92.431
SNOWFLAKE,7,8,20,89.043,1034225.9,93.409,93.379,93.678,93.717
SNOWFLAKE,5,14,80,90.06,770138.2,21.526,91.759,85.619,91.77
SNOWFLAKE,11,8,40,87.482,1539298.1,91.911,92.149,92.383,92.639
SNOWFLAKE,15,11,0,87.14,2050608.5,92.126,92.211,92.825,92.774
SNOWFLAKE,5,5,60,89.9,746424.2,70.741,90.609,90.329,91.315
SNOWFLAKE,11,11,0,88.055,1570095,92.806,92.762,93.335,93.19
SNOWFLAKE,13,14,20,87.238,1827785.4,92.421,92.44,92.793,92.815
SNOWBALL,11,11,0,88.055,1588012.8,92.734,92.664,93.244,93.113
SNOWBALL,13,14,60,87.362,1752127,87.918,91.762,90.68,91.721
SNOWBALL,7,11,80,88.814,1001701.8,2.885,89.953,74.724,89.769
SNOWBALL,11,14,0,87.936,1624945.6,92.715,92.707,93.279,93.302
SNOWFLAKE,5,5,0,90.32,772550.6,93.993,93.781,94.704,94.688
SNOWBALL,9,11,40,89.411,1268497.9,92,92.659,92.745,93.195
SNOWFLAKE,15,5,80,86.907,1904184.8,25.633,89.28,83.233,89.927
SNOWBALL,5,11,40,90.34,784571.6,91.574,93.065,92.785,93.269
SNOWBALL,15,8,40,86.787,1960654.6,91.448,91.729,91.759,91.989
SNOWFLAKE,13,11,80,87.208,1723299.6,38.669,90.412,84.262,90.038
SNOWFLAKE,11,11,20,87.827,1552439.1,92.491,92.561,93.07,93.054
SNOWFLAKE,5,11,60,90.34,784518.6,62.591,89.886,89.096,90.925
SNOWBALL,11,14,40,88.536,1568601.8,91.912,92.219,92.199,92.385
SNOWBALL,5,11,20,90.04,798603.3,93.986,93.731,94.364,94.356
SNOWBALL,7,5,60,88.943,984302.6,86.29,92.142,91.336,92.124
SNOWBALL,11,14,20,87.536,1566426,92.523,92.633,93.019,92.844
SNOWFLAKE,5,14,20,90.26,817117.3,93.845,93.665,94.032,94.049
SNOWBALL,15,14,0,87.133,2137030.8,92.01,92.05,92.819,92.752
SNOWFLAKE,11,8,80,87.691,1467237.8,16.402,87.854,84.319,89.433
SNOWBALL,5,11,0,90.14,817863.7,94.001,93.834,94.727,94.701
SNOWFLAKE,5,5,20,90.1,768820.2,93.819,93.28,94.357,94.194
SNOWFLAKE,7,11,0,89.5,1066035.2,93.725,93.627,94.082,94.012
SNOWBALL,15,11,0,87.033,2078514.1,92.088,92.106,92.859,92.8
SNOWFLAKE,15,11,80,87.487,1957978.6,30.222,89.925,81.157,90.561
SNOWBALL,11,11,20,88.118,1560270.6,92.558,92.556,93.019,92.963
SNOWFLAKE,9,14,60,89.222,1278470,90.491,92.585,92.043,92.854
SNOWFLAKE,13,8,0,87.5,1799055.7,92.556,92.561,93.064,93.11
SNOWBALL,5,8,40,90,768667.6,92.456,93.414,92.785,93.088
SNOWBALL,15,8,20,86.44,2034306.2,91.877,91.924,92.629,92.549
SNOWBALL,11,5,40,87.955,1484230.2,92.084,92.204,92.565,92.767
